0 0.452692 0
1 1.08696 1
2 2.98797 2
3 3.8633 3
4 4.65252 4
5 5.89223 5
6 6.41232 6
7 7.15307 7
8 8.64541 8
9 9.30721 9
10 10.9752 10
11 11.8118 11
12 12.271 12
13 13.1566 13
14 14.1402 14
15 15.2607 15
16 16.0103 16
17 17.0549 17
18 18.5544 18
19 19.6858 19
20 20.2429 20
21 21.5225 21
22 22.2306 22
23 23.2754 23
24 24.2407 24
25 25.3755 25
26 26.7946 26
27 27.2085 27
28 28.0406 28
29 29.1106 29
30 30.0715 30
31 31.4933 31
32 32.1975 32
33 33.0594 33
34 34.3566 34
35 35.85 35
36 36.9517 36
37 37.7689 37
38 38.0031 38
39 39.5971 39
40 40.0761 40
41 41.9783 41
42 42.4089 42
43 43.3471 43
44 44.1349 44
45 45.5491 45
46 46.6078 46
47 47.1452 47
48 48.604 48
49 49.1621 49
50 50.8309 50
51 51.8469 51
52 52.6846 52
53 53.0616 53
54 54.1223 54
55 55.9253 55
56 56.4371 56
57 57.9169 57
58 58.1339 58
59 59.4777 59
60 60.0274 60
61 61.2053 61
62 62.9709 62
63 63.2249 63
64 64.2648 64
65 65.3275 65
66 66.075 66
67 67.2164 67
68 68.0964 68
69 69.0781 69
70 70.8135 70
71 71.1725 71
72 72.0564 72
73 73.2224 73
74 74.5196 74
75 75.1912 75
76 76.7714 76
77 77.1274 77
78 78.3364 78
79 79.3754 79
80 80.2895 80
81 81.1673 81
82 82.2223 82
83 83.9741 83
84 84.2289 84
85 85.3445 85
86 86.8994 86
87 87.666 87
88 88.2614 88
89 89.0333 89
90 90.1437 90
91 91.2888 91
92 92.2386 92
93 93.1146 93
94 94.5138 94
95 95.5034 95
96 96.4421 96
97 97.5887 97
98 98.7198 98
